Change Component Footprint: Designator=C8 Old Footprint=CAPAE830X1020N New Footprint=CAPMP7343X310N
Change Component Footprint: Designator=C6 Old Footprint=CAPAE1030X1020N New Footprint=CAPMP7343X200N
Change component parameters: Designator = "C6" ("C6"); Footprint = "CAPAE1030X1020N"; UniqueID = "\KSEKXIPR" ("\KSEKXIPR")
Change component parameters (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "CreateDate"; Value = "3.12.2007"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CTE_AVX_TAJ.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "3.12.2007"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "3.1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer1 Example"; Value = "AVX"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer1 Part Number"; Value = "TAJD477K006R"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "CTE7343-31_470UF_6.3V_10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Description"; Value = "Solid Tantalum Chip Capacitor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "CTE7343-31_470UF_6.3V_10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Status"; Value = "Preferred"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "470uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "6.3V"; VariantName = "[No Variations]"
Added Component: Designator=C12(CAPC1608X87N)
Add component (AddParameter): Name = "Author"; Value = "CERN DEM MR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Component Type"; Value = "Standard"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "CreateDate"; Value = "8.01.2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "HelpURL"; Value = "\\cern.ch\dfs\Applications\Altium\Datasheets\CC0603_X5R_TDK_C.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "LatestRevisionDate"; Value = "8.01.2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "GENERIC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 ComponentHeight"; Value = "0.9mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Example"; Value = "TDK"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer1 Part Number"; Value = "C1608X5R1H104K080"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CC0603_100NF_50V_10%_X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounted"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Description"; Value = "SMD Multilayer Chip Ceramic Capacitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "CC0603_100NF_50V_10%_X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pin Count"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Sense"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SMD"; Value = "Yes"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Socket"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Status"; Value = "None"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "TC"; Value = "X5R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "±10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "100nF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "50V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=+5V Pin=C12-1
Added Pin To Net: NetName=GND Pin=C12-2
Added Member To Class: ClassName=Power Member=Component C12 100nF
